date,close,high,low,open,volume,price_chg_pct0,ema10,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,atr14,atr_pct,atr_multi_50sma,vars_norm_change,vars,vars_20ema,previous_session_high,previous_session_low,previous_session_volume,inside_day,tight_day,close_to_ma,range_pct,range10_pct,range20_pct,range_contraction_10_20,vol_dry_10_50,dist_sma50_pct,close_vs_252h,nr7,nr20,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,perf_12mo,rela_perf_12mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,coiled_theme_score,coiled_is_candidate,coiled_flags,ticker
2026-03-19,22.83254623413086,23.06017845135703,22.50099520743841,22.63460591434511,2392100.0,0.0145119387572201,22.60793575843081,22.163418725087787,22.124311447143555,21.67524833679199,20.16957664489746,18.789885234832763,18.16121621131897,18.393708902199307,23.10966393339153,16.739593529477666,23.10966393339153,16.739593529477666,23.10966393339153,16.584116124045753,23.10966393339153,16.584116124045753,23.10966393339153,14.175240709667865,23.10966393339153,2940690.0,2911182.0,2786775.0,60242623.66970062,0.0218008782790661,0.4771799690091412,0.0208991132270581,6.317446393621266,0.6844479323342924,15.324618871300478,10.572943052509292,22.77316278673141,22.471301790178597,1759900.0,False,False,True,0.0244906213343272,0.0420459704112935,0.101213759043397,0.4154175361994573,0.8349186000737845,0.132029027486161,0.9880085794384807,False,False,0.1001431189716315,1.145907379243766,0.322200010360381,1.360980371359509,0.2765400889506533,1.2753536600912965,0.3915082962203,1.1826016403123567,1.0552305083833464,51.0,87.0,87.0,91.0,91.0,84.0,84.0,84.0,85.0,79.0,76.0,100.0,31.0,False,volDry=0.83; 50SMA=+13.2%; 252H=0.99x; prior=1.6x,AM
2026-03-19,43.29999923706055,44.369998931884766,42.0099983215332,42.20000076293945,9862000.0,0.0433734755918204,40.50521602917382,38.863897132002194,37.39120025634766,36.87166684468587,35.53940021514892,34.87860008239746,34.730500049591065,32.810001373291016,44.369998931884766,31.149999618530277,44.369998931884766,31.149999618530277,44.369998931884766,29.100000381469727,44.369998931884766,29.100000381469727,44.369998931884766,29.100000381469727,44.369998931884766,6232562.5,6314776.0,5273846.031746032,243082286.29936215,0.0398551759719523,1.6242855616978236,0.037512369291397,5.821174998438445,1.108179053921439,8.75669684376773,3.8667699685028265,41.81999969482422,40.130001068115234,6014300.0,False,False,False,0.0545034792594553,0.1653579670570491,0.2609699638837143,0.6336283478612543,1.0530872353983736,0.2183660662512703,0.9758846130136978,False,False,0.279172856393602,1.3323844781576573,0.3030394171996586,1.3412577946003084,0.3422195130170935,1.340972041057835,0.0860296061466092,0.9229843595940942,1.1817869658088145,63.0,95.0,95.0,91.0,91.0,87.0,87.0,89.0,87.0,81.0,83.0,100.0,15.0,False,volDry=1.05; 50SMA=+21.8%; 252H=0.98x; prior=1.5x,AR
2026-03-19,36.10233688354492,36.400538249518775,35.118271996647614,35.23755178466994,1682400.0,0.0162282791390289,35.487255272047975,34.775761781434866,34.638761825561524,34.12568810780843,31.35922176361084,28.010458755493165,25.9013537311554,29.321244329636272,37.03670266393049,24.8490149666292,37.03670266393049,22.588216524879744,37.03670266393049,22.588216524879744,37.03670266393049,22.588216524879744,37.03670266393049,19.364304387910103,37.03670266393049,1699055.0,1641914.0,1554537.3015873015,61748206.95455551,0.0333566221712171,1.1842881816203972,0.0328036433054333,4.610800252731202,0.48680957565549,15.070950414929731,12.259424307538533,36.17191637145135,35.40653047886104,1701100.0,False,False,False,0.0355175416208473,0.0647026240685459,0.134361170230651,0.4815574615603169,0.9164913631286412,0.1512510468431962,0.9747718961684044,False,False,0.1039512871562462,1.1498739613628546,0.4488386341006984,1.4913333284129413,0.5465834175204949,1.5451460077471304,0.4590135451922137,1.239972349765346,1.0929650888821612,55.0,88.0,88.0,94.0,94.0,92.0,92.0,84.0,89.0,89.0,87.0,100.0,32.0,False,volDry=0.92; 50SMA=+15.1%; 252H=0.97x; prior=1.9x,AROC
2026-03-19,45.34132385253906,46.260805851203,45.123810846366034,45.1732445918909,37659700.0,0.0280206282971207,42.32703334978564,40.74002124461116,39.48670501708985,39.14966036478678,37.641639938354494,36.07615985870361,33.79163799285889,35.283957442727434,46.260805851203,32.59983649500965,46.260805851203,32.42415319436954,46.260805851203,31.49940384801401,46.260805851203,31.49940384801401,46.260805851203,23.54796370444691,46.260805851203,12319212.5,11767270.0,9564736.904761905,603532567.5735283,0.0203749592141408,1.06566648359011,0.0235032061934476,8.703165660383686,1.15970873717461,15.634391367131585,10.054075572845443,44.21421762310993,43.77919161309209,16789100.0,False,True,False,0.0250763521712498,0.1624509922294393,0.2075883493871224,0.7825631482164331,1.6765400980856222,0.2045522970517304,0.980123951977373,False,False,0.2056638210149626,1.255817580061514,0.3760139255069656,1.4163726581895064,0.3731280865459752,1.3718518878558026,0.4190767191937523,1.2060312255457226,1.287982369265876,72.0,93.0,93.0,93.0,93.0,88.0,88.0,87.0,87.0,81.0,80.0,100.0,27.0,False,tight; volDry=1.68; 50SMA=+20.5%; 252H=0.98x; prior=2.0x,BP
2026-03-19,31.312654495239254,31.550171247986675,31.06524097517544,31.312654495239254,948200.0,-0.0015778341307343,31.54533820222796,31.544991350478025,31.6677424621582,31.70257835388184,30.977755622863768,29.668113498687745,28.668535137176512,30.61000050705843,32.480445211350315,26.780038557251107,32.480445211350315,26.780038557251107,32.480445211350315,26.491317256811023,32.480445211350315,26.491317256811023,32.480445211350315,22.91803512539876,32.480445211350315,1306952.5,1265520.0,978686.1111111112,35111890.26842117,0.0214556657766578,0.7337575416148621,0.0234332589632866,0.4613505512599822,-0.0674395152665579,8.008792892228039,5.913689803784645,31.629343918797478,31.184000709339674,760800.0,False,True,True,0.0154867187285243,0.0442477755353439,0.0518330827535492,0.8536589603541195,0.92189771793413,0.0108109469405301,0.964046345162074,False,False,0.0041256567444047,1.0458957383899037,0.0987575766580703,1.1309843314148738,0.0615002718272637,1.060513703079747,0.2232003991289619,1.039561749196804,1.335415395357154,75.0,72.0,72.0,78.0,78.0,68.0,68.0,25.0,68.0,59.0,55.0,100.0,60.0,False,tight; volDry=0.92; 50SMA=+1.1%; 252H=0.96x; prior=1.4x; blind=1m,CDP
2026-03-19,129.34652709960938,132.1321144483509,128.73191782728554,130.79385085930028,1097800.0,-0.0007658530219957,123.09980937793758,117.08761980520325,112.11894073486329,110.0533109029134,103.35127670288084,96.68839965820312,97.4121350479126,95.06743368903574,132.1321144483509,85.68919773207728,132.1321144483509,81.63630620892735,132.1321144483509,81.48155327534243,132.1321144483509,81.48155327534243,132.1321144483509,75.18115012382165,132.1321144483509,1059572.5,1010186.0,837647.2222222222,164904784.10194397,0.0382193730570195,4.858729920859005,0.0375636673810137,6.695918715447711,-0.0204037586270149,11.474382696629196,6.220154208893989,130.00079635525208,125.96615243306714,1399300.0,False,False,False,0.0262874983759469,0.1343389141035288,0.2514385994344867,0.5342811899432782,1.497763778155706,0.2515232634373825,0.9789181656528292,False,False,0.2911620590132302,1.3448724131509904,0.4364688388329443,1.4786007248543007,0.2694944967656312,1.268314616148646,0.2632883961825292,1.0736313492136766,1.2649388333062512,70.0,96.0,96.0,94.0,94.0,84.0,84.0,91.0,91.0,89.0,86.0,100.0,15.0,False,volDry=1.50; 50SMA=+25.2%; 252H=0.98x; prior=1.8x,CHRD
2026-03-19,310.7099914550781,313.19000244140625,307.7699890136719,310.94000244140625,2003700.0,0.0058594936690101,310.3586697825522,307.5311237769334,307.1264306640625,305.296425374349,292.40138366699216,279.27326187133787,271.0514546203613,287.75109560237195,321.47490946799377,256.06847906720907,321.47490946799377,256.06847906720907,321.47490946799377,250.0131805588342,321.47490946799377,250.0131805588342,321.47490946799377,239.3673761283401,321.47490946799377,2321780.0,2318416.0,2205628.571428572,758790351.3648987,0.0201242547391473,6.201032436173185,0.0199576215979836,3.137379928234027,0.2918864845852581,10.734855590756238,8.283027282648106,314.1700134277344,308.42999267578125,1583200.0,False,True,True,0.0174439624627198,0.0513018663054832,0.0833601350341223,0.6154244625981412,0.9406681113311848,0.0626146414168038,0.966513971399104,False,False,0.0515212459273135,1.0952629111256371,0.1655532028788338,1.1997390852091565,0.218004173804897,1.2168721487982972,0.210564933354006,1.028823241498243,1.0526613728512766,50.0,82.0,82.0,84.0,84.0,81.0,81.0,59.0,74.0,65.0,64.0,100.0,62.0,False,tight; volDry=0.94; 50SMA=+6.3%; 252H=0.97x; prior=1.3x; blind=1m,CME
2026-03-19,50.09499740600586,50.87788750316476,48.84634036146724,48.90579788050746,32425200.0,0.0295316146123039,47.60262467517417,45.58774561606116,44.40111526489258,43.47149200439453,40.00008834838867,36.26213947296142,33.719089336395264,37.30120045395482,50.87788750316476,29.85879860241352,50.87788750316476,29.85879860241352,50.87788750316476,29.412850182293347,50.87788750316476,29.03626860138557,50.87788750316476,24.109592819317776,50.87788750316476,10587517.5,10584882.0,7474090.476190476,553686809.0111542,0.0265706833158891,1.4128807886382273,0.0282040295797847,8.94808907747196,1.0170360409378358,20.025166170887648,14.197768322741544,49.00489862162858,48.2418289797855,10781900.0,False,False,False,0.0405538925420516,0.1285855378964192,0.1920870531735387,0.6694128301309833,1.393507268196282,0.2523721690235676,0.9846123702146596,False,False,0.2133940764805564,1.2638694022551062,0.6175999953684677,1.6650444903624428,0.543040287229785,1.5416061704764097,0.730864309645664,1.4710102536255474,1.4165626618687162,79.0,93.0,93.0,96.0,96.0,92.0,92.0,90.0,94.0,91.0,89.0,100.0,32.0,False,volDry=1.39; 50SMA=+25.2%; 252H=0.98x; prior=2.1x,CNQ
2026-03-19,125.09036254882812,125.41792999675728,123.0554896918388,123.79002868192045,11205400.0,0.0191669356126025,119.98624763192493,116.51169847243814,114.5996807861328,113.2293078104655,107.10976242065428,98.20047317504884,94.36911575317384,101.59842671760248,125.41792999675728,89.38494526863778,125.41792999675728,83.52753061079662,125.41792999675728,83.50802056998734,125.41792999675728,83.50802056998734,125.41792999675728,76.66481777222711,125.41792999675728,9409852.5,9447794.0,7967638.095238095,1203411461.186638,0.0251015839810881,3.340885305084897,0.0267077753794246,6.28546499127622,0.7041572308218148,15.268076725603068,10.461691194708896,123.94885545852335,122.2018365941685,10273000.0,False,False,False,0.0188858698366655,0.1064909685745442,0.1447389136557663,0.7357452525021189,1.1571928854502966,0.1678707871422426,0.99738819283704,False,False,0.1402461121834537,1.1876785952416862,0.3991483171062102,1.4401855856007946,0.3662234453206694,1.3649536638716662,0.2964926440580637,1.1018506549192957,1.1810090251995573,63.0,90.0,90.0,93.0,93.0,88.0,88.0,84.0,87.0,86.0,83.0,100.0,10.0,False,volDry=1.16; 50SMA=+16.8%; 252H=1.00x; prior=1.6x,COP
2026-03-19,78.08687591552734,78.45487696022275,76.505441205041,77.1320507041083,17519600.0,0.0117268348231629,78.00797213243692,78.17979444316535,77.87641418457031,79.01351928710938,77.82648513793946,76.4935627746582,71.66232650756837,73.02430694126029,87.71470506709579,72.407651892257,87.71470506709579,69.78640096620624,87.71470506709579,65.73886932187322,87.71470506709579,64.6571524864762,87.71470506709579,50.93755203841818,87.71470506709579,24324957.5,23448102.0,21598621.825396825,1664016072.9437635,0.0222253481597785,1.9110725035191507,0.0244736709096482,0.1367096167042769,0.4736073381617315,7.864999689313713,6.3074719174083045,79.59868191892603,77.1121555184184,18827600.0,False,False,True,0.0249649602743822,0.061775607484124,0.0760412181944422,0.8123963417598065,0.8501997304515307,0.0033457861694046,0.8902370002361198,False,False,0.0042210631847661,1.0459951135913226,0.0177963656078603,1.047648513673655,0.1725739669408705,1.1714841652134114,0.3336247284051559,1.1334081123748965,1.1262272980490544,58.0,72.0,72.0,65.0,65.0,78.0,78.0,54.0,46.0,48.0,57.0,92.3076923076923,42.0,False,volDry=0.85; 50SMA=+0.3%; 252H=0.89x; prior=1.7x; blind=1m,CSCO
