date,close,high,low,open,volume,price_chg_pct0,ema10,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,price_up_down,highest_volume,days_since_highest_volume,days_since_vol_max,up_dollar_vol_max,days_since_up_vol_max,adr_pct,atr14,atr_pct,atr_multi_50sma,vars_norm_change,vars,vars_20ema,previous_session_high,previous_session_low,previous_session_volume,inside_day,tight_day,close_to_ma,range_pct,range10_pct,range20_pct,range_contraction_10_20,vol_dry_10_50,dist_sma50_pct,close_vs_252h,nr7,nr20,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,perf_12mo,rela_perf_12mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-01-27,67.27601623535156,67.49293389169587,65.91530648402303,66.31957750368466,2586200.0,0.01276522630382,65.17916357612202,63.177213429615904,61.118924865722654,60.62992566426595,59.70197227478028,59.62903163909912,55.37266582489013,56.41009556357172,67.49293389169587,54.34492719396076,67.49293389169587,54.34492719396076,67.49293389169587,54.34492719396076,67.49293389169587,49.77216517358266,67.49293389169587,39.32460700320366,67.49293389169587,2993235.0,3077282.0,3768547.679324895,211020957.32883453,1,False,312,312,702774854.9785614,130,0.0276046225286368,1.847375052137142,0.0274596380034524,4.620025103506148,0.4590129406558811,-2.5719129311190647,-3.8784494179981808,66.94077332134995,66.07308003523917,2752100.0,False,False,False,0.0234500717485087,0.0943865316535024,0.164736840085077,0.5729533940602313,1.205840088753647,0.1268642169091416,0.9967860686469432,False,False,0.180858446935805,1.172981608330603,0.0864515469271374,1.0573527555431168,0.2672612934685039,1.1603341797213702,0.0,0.0,0.7942675148895062,28.0,87.0,87.0,68.0,68.0,78.0,78.0,73.0,63.0,58.0,53.0,96.15384615384616,ADM
2026-01-27,215.24322509765625,217.3144052176616,208.76082560824517,216.07965884013723,3101900.0,0.003481694162231,205.98447593962496,196.76403362262508,189.6566076660156,185.90584818522132,178.19410552978516,169.93882522583007,145.72272869110108,163.9715940415073,222.4923564100178,154.7337862769358,222.4923564100178,149.69686310774617,222.4923564100178,128.83307752088675,222.4923564100178,113.53639266384602,222.4923564100178,90.94623306921667,222.4923564100178,2538592.5,2473922.0,2974108.860759494,511526951.69525146,1,False,130,130,1463375725.3814695,130,0.0344634802573227,7.843737709030084,0.0364412757032021,5.705464217754494,0.0952111022562844,5.836323656302215,7.018597054558208,222.4923564100178,214.42670377300036,3811400.0,False,True,False,0.0397391351367071,0.1353627575011798,0.2703552812648869,0.5006847170429604,1.1667223137997076,0.2079143945739459,0.9674185152724862,False,False,0.1920150712859183,1.1840638131517605,0.3263349824709005,1.2908113136341182,0.7557750114931097,1.6076288041277345,0.0,0.0,0.8535640821673633,35.0,88.0,88.0,90.0,90.0,92.0,92.0,85.0,80.0,78.0,83.0,92.3076923076923,AEM
2026-01-27,14.56580638885498,14.63414432430235,14.175302570534958,14.3900792050937,6171500.0,0.0205198362983378,14.083303248142078,13.971812588888993,13.93240867614746,13.83849245707194,13.710602416992188,13.527007322311402,12.33156436920166,13.04284011454302,14.663433173426297,12.896401686274892,14.663433173426297,12.0693432521543,14.951717274964752,11.88618167756293,14.951717274964752,9.530049574988391,14.951717274964752,8.941856200497051,14.951717274964752,7585750.0,7594918.0,12726270.88607595,119250125.66521168,1,False,333,333,884606902.596283,202,0.030247258483645,0.4825514003514978,0.0331290549571441,1.882799718197964,0.6069366926022897,-3.617138910539409,-4.620037831669992,14.5267561885115,13.93123762537478,8526100.0,False,False,False,0.0315012942996739,0.0911527648928019,0.0931635597875053,0.9784165085652614,1.2952200405587,0.0623753753374758,0.9741895275965428,False,False,0.0687679099134894,1.061638763863298,0.0384659291755908,1.0106523524744844,0.1335788411253409,1.0379313891664794,0.0,0.0,0.5960701345984794,14.0,69.0,69.0,59.0,59.0,66.0,66.0,56.0,40.0,53.0,50.0,92.3076923076923,AES
2026-01-27,43.55184173583984,43.56182366664237,41.37624527381013,42.58380002551721,3590300.0,0.0234522093161786,41.91425471894341,41.0124168014428,40.74033218383789,40.2269048055013,38.19987457275391,35.51191535949707,31.1304510307312,36.7855379625456,45.08872941452884,29.22085018783612,45.08872941452884,29.22085018783612,45.08872941452884,25.258869005182223,45.08872941452884,23.87167641900356,45.08872941452884,21.95281903195101,45.08872941452884,2676152.5,2724620.0,3610285.654008439,122528078.55997086,1,False,130,130,560530258.846283,130,0.0393686545138918,2.022334682772373,0.0464351127798149,3.0172062491730847,0.4934801512568499,2.005681998169353,5.5313393521989,45.08872941452884,42.493983356848894,5631100.0,False,False,False,0.0501833747029273,0.1551329272684927,0.1826306434748202,0.8494353648262832,1.4224992843038662,0.1401043124603145,0.9659141497521604,False,False,0.0815366068398852,1.074322288036644,0.3832013457823451,1.3461546063148957,0.7228583153876063,1.5774895047018214,0.0,0.0,0.7412578273491222,23.0,72.0,72.0,91.0,91.0,91.0,91.0,72.0,85.0,81.0,84.0,96.15384615384616,AGI
2026-01-27,103.26000213623048,104.9800033569336,101.41999816894533,101.9000015258789,8013100.0,0.0466247547473763,95.29056569645904,92.50931184850825,90.5668002319336,90.01200002034506,88.95939956665039,82.78569961547852,80.19474967956543,84.54000091552734,104.9800033569336,70.81999969482422,104.9800033569336,70.81999969482422,104.9800033569336,69.77999877929688,104.9800033569336,69.77999877929688,104.9800033569336,67.51000213623047,104.9800033569336,2755160.0,3245358.0,2592562.869198312,292478682.5147629,1,False,340,340,827432723.1178284,0,0.0293527104664641,3.603571210588728,0.0348980354061445,4.606398598167038,1.2765110512051117,-0.2143322643225351,-2.902710880375316,99.19000244140624,95.9499969482422,4142100.0,False,False,False,0.0344761293273225,0.1609529576094268,0.1979469496275997,0.8131115832410142,1.1930332493364368,0.1607542613736476,0.9836159157391612,False,False,0.1625760244429239,1.1548211375345256,0.3758827173533596,1.3390319951335037,0.2954460333991562,1.1861407890265303,0.0,0.0,1.062716755197519,61.0,85.0,85.0,91.0,91.0,79.0,79.0,77.0,83.0,79.0,76.0,100.0,AKAM
2026-01-27,331.8829650878906,335.63362849393246,322.4863976880744,323.64351789720905,8033000.0,0.0414761667853376,316.50815581460864,303.1385968947636,291.2526330566406,285.30737965901693,270.1879849243164,239.48482635498047,204.0939979553223,246.30622742359984,335.63362849393246,202.49746578230435,335.63362849393246,183.01430412933416,335.63362849393246,153.78458584516943,335.63362849393246,153.78458584516943,335.63362849393246,122.49056819303526,335.63362849393246,6830457.5,7509578.0,7695262.025316455,2121527118.9112852,1,False,165,165,6586068852.313232,39,0.0322625855556544,12.75393506682253,0.0384290138647067,5.941889300882104,1.036310828491449,16.47624351670652,12.224973462015727,321.1996190317886,315.7831234454335,4777200.0,False,False,False,0.039614057330048,0.1186317902316493,0.2419824575763156,0.4902495470946922,1.048026933071339,0.2283409463261509,0.9888251263055136,False,False,0.2758263199967903,1.267316004440374,0.4573209495043162,1.418289040157665,0.7570693658564407,1.6088139453580277,0.0,0.0,0.8876185732894661,39.0,92.0,92.0,93.0,93.0,92.0,92.0,88.0,90.0,91.0,92.0,100.0,AMAT
2026-01-27,346.28741455078125,348.189760445877,341.9602860333196,343.5768077815636,3269600.0,0.0046612067820621,336.24230770641645,331.4295438272489,328.2629760742187,326.786171468099,327.8490826416016,307.1734585571289,292.9352093505859,310.6749861756612,348.189760445877,281.8640897584752,348.189760445877,264.0224916487972,348.189760445877,264.0224916487972,348.189760445877,261.1600808393764,348.189760445877,251.5779767804341,348.189760445877,2811595.0,2866924.0,2709592.8270042194,854801339.0315247,1,False,39,39,4345251286.221313,39,0.0232894388160562,8.445123470024871,0.0243876130496404,2.3061011909260367,0.1902433308016535,0.6909806717186884,-1.6991884042030598,345.4101762038304,338.6977300496057,3116100.0,False,False,False,0.0179893179792242,0.0952406992565589,0.0997381092226101,0.9549078080474408,1.026779921616339,0.0562403034976191,0.9945364680091116,True,False,0.0519821965406019,1.0449650184874677,0.2127288399067834,1.1802479219885915,0.1838962550046543,1.0840031941369868,0.0,0.0,1.0376448343010105,58.0,65.0,65.0,84.0,84.0,72.0,72.0,56.0,61.0,68.0,62.0,100.0,AMGN
2026-01-27,35.369998931884766,35.65999984741211,34.70000076293945,34.939998626708984,1452500.0,0.0137575107662151,34.59411227510928,33.35285873341411,32.374400024414065,31.8306666692098,29.81859992980957,26.496399936676024,24.69464997291565,28.13999938964844,36.0,21.11000061035156,36.0,21.11000061035156,36.0,21.11000061035156,36.0,21.11000061035156,36.0,16.010000228881836,36.0,1946657.5,2373400.0,2087121.0970464132,57958598.0073452,1,False,321,321,316500000.0,63,0.0291474361689141,1.0012852805001395,0.0283088863652047,6.576463433273935,0.4793834001000889,0.5606198701224931,-1.2028012859467692,35.729000091552734,34.380001068115234,1700800.0,True,False,False,0.0271416203975978,0.0567995174305354,0.2041277786651535,0.2782547177163381,0.6744248757057386,0.1861723560174761,0.9824999703301324,False,False,0.1825476132506589,1.1746595071726504,0.5685144181182393,1.5265043772979725,0.4013470385351683,1.2831062345581603,0.0,0.0,0.932699833639174,45.0,87.0,87.0,95.0,95.0,84.0,84.0,81.0,91.0,88.0,83.0,92.3076923076923,AMTM
2026-01-27,146.69000244140625,149.27000427246094,143.8000030517578,144.86000061035156,8697000.0,0.0206651906170127,135.87502097103484,133.04532635881637,131.6915997314453,130.5349998474121,129.23939956665038,137.9169994354248,120.7343493270874,120.0,149.27000427246094,114.5199966430664,164.94000244140625,114.5199966430664,164.94000244140625,114.5199966430664,164.94000244140625,92.6999969482422,164.94000244140625,59.43000030517578,164.94000244140625,6790745.0,7614746.0,9618373.41772152,1032671425.0110244,1,False,174,174,3607877506.265259,174,0.0385593619341637,6.611428941999163,0.0450707535071452,2.995854277652162,0.449222285644812,-5.701974658327882,-6.0684620548854,146.40499877929688,139.24000549316406,10658200.0,False,False,False,0.0372895298225116,0.1787442960277843,0.1995364631897973,0.8957976560793519,1.119156174086437,0.1350254096913874,0.8893537060151119,False,False,0.1217404423706816,1.114257946526739,-0.0463529095261582,0.9281052448037213,0.2478945013452527,1.1426014903636286,0.0,0.0,0.7060180245745385,20.0,80.0,80.0,37.0,37.0,76.0,76.0,77.0,69.0,64.0,59.0,100.0,ANET
2026-01-27,165.672119140625,166.4593664297708,156.9027046803021,157.3312179180016,18312500.0,0.0687193976303981,152.99862178843267,148.0005974381328,143.86299072265626,141.27426376342774,139.31433059692384,132.84963806152345,112.96451766967772,124.94418205725808,166.4593664297708,124.94418205725808,166.4593664297708,118.23877176509238,166.4593664297708,104.00109317953692,166.4593664297708,94.23764339203576,166.4593664297708,55.96875021852532,166.4593664297708,8070457.5,8228628.0,8499727.00421941,1277711280.199051,1,False,188,188,3033870681.762696,0,0.0346533514881892,5.982702322788522,0.0361117027646052,5.239202805009724,1.7806053947682865,5.718586064661044,3.465786825231352,156.1453642121837,149.4985502664501,10563900.0,False,False,False,0.0576841884985901,0.1380451309243442,0.2190676089998401,0.6301485260855929,1.221421116618712,0.1891965344179973,0.995270633872814,False,False,0.2052341464773768,1.197194711371573,0.2447359334079584,1.2113977589105536,0.5632744210154996,1.4313707459838094,0.0,0.0,0.9494960833440518,48.0,89.0,89.0,86.0,86.0,88.0,88.0,86.0,74.0,76.0,81.0,100.0,APH
