date,close,high,low,open,volume,price_chg_pct0,ema10,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,price_up_down,highest_volume,days_since_highest_volume,days_since_vol_max,up_dollar_vol_max,days_since_up_vol_max,adr_pct,atr14,atr_pct,atr_multi_50sma,vars_norm_change,vars,vars_20ema,previous_session_high,previous_session_low,previous_session_volume,inside_day,tight_day,close_to_ma,range_pct,range10_pct,range20_pct,range_contraction_10_20,vol_dry_10_50,dist_sma50_pct,close_vs_252h,nr7,nr20,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,perf_12mo,rela_perf_12mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2025-12-09,15.029999732971191,15.199999809265137,14.56999969482422,14.729999542236328,66426600.0,0.011440113070094,14.325227493490187,13.834772520441344,13.477599983215333,13.39566666285197,12.851600017547607,12.63089997291565,11.951449990272522,12.109999656677246,15.199999809265137,11.06999969482422,15.199999809265137,11.06999969482422,15.199999809265137,10.260000228881836,15.199999809265137,10.260000228881836,15.199999809265137,8.5,17.469999313354492,55403660.0,59630886.0,62595054.33789954,723709939.8126221,1,False,152,152,1926851341.516304,152,0.0374158244482059,0.5278570992606026,0.035120233442363,4.826396275316701,0.3220570046932653,-3.63193039478577,-5.952711023647892,14.979999542236328,14.640000343322754,43144100.0,False,False,False,0.0419161760235358,0.1397205232937335,0.205588836160082,0.6796114317459337,0.9856494501859322,0.1695041638744741,0.8603320162400862,False,False,0.101098912308212,1.083117252944111,0.172386902555014,1.1195186398600394,0.2694256367628556,1.120650443691005,0.0,0.0,0.8851124195998125,35.0,79.0,79.0,82.0,82.0,77.0,77.0,76.0,81.0,74.0,76.0,100.0,AAL
2025-12-09,26.88999938964844,27.670000076293945,26.700000762939453,26.76000022888184,1909600.0,0.0048579656074252,25.9124964868116,24.962527407280906,24.216799850463868,23.945999972025557,22.865599937438965,23.53899995803833,21.13994999885559,20.63999938964844,27.729999542236328,19.690000534057617,27.729999542236328,19.690000534057617,27.729999542236328,19.690000534057617,27.729999542236328,14.449999809265137,27.729999542236328,13.399999618530272,27.729999542236328,1705340.0,1778222.0,1943720.5479452056,38795804.57007408,1,False,207,207,397550248.08769226,207,0.0392421630021522,0.9171428680419922,0.034107210444752,5.16026826437175,0.1417436315501604,-3.3678562939157093,-5.907179168491432,27.729999542236328,26.600000381469727,1614400.0,True,True,False,0.0360728648334556,0.1387132624358566,0.2130903559797828,0.6509598324994924,0.8595608422345467,0.1760023556443024,0.969707891581157,False,False,0.1914045083401081,1.1719481000244223,0.1298319433462942,1.078882677492309,0.2112611921409679,1.0693028036364218,0.0,0.0,0.8773586315187086,34.0,90.0,90.0,78.0,78.0,73.0,73.0,83.0,82.0,74.0,69.0,96.15384615384616,ACAD
2025-12-09,41.75545883178711,42.36689812755395,41.70614987861804,41.98228302599043,2244900.0,-0.0072684903781813,41.03259513211745,40.28012782958515,39.51955886840821,39.42316309611002,39.18208526611328,39.16070579528809,36.8040115070343,36.666698426806434,42.63317073982034,36.151206800412176,43.87273581341295,35.92123188210135,43.87273581341295,35.04912281304994,43.87273581341295,31.34129527348026,43.87273581341295,28.39740728760736,43.87273581341295,3211465.0,3334202.0,3668123.744292237,109631525.15077592,-1,False,193,193,474203361.624527,263,0.025948574055165,1.016836636691656,0.0243521844841415,2.6969777584783348,-0.3006591933525019,-4.77543578539395,-6.786957834686231,42.63317073982034,41.23277691544081,4307200.0,True,False,False,0.0158242363375229,0.0833727158661755,0.1428908334368924,0.5834714086330596,0.8113215695989625,0.0656772999240908,0.9517404843265204,False,False,0.0781767941379816,1.0605694678299151,0.0378625533239509,0.9910606059541636,0.1689972330953746,1.0319921309314315,0.0,0.0,0.8755061780555199,34.0,74.0,74.0,64.0,64.0,69.0,69.0,55.0,52.0,46.0,46.0,96.15384615384616,ALLY
2025-12-09,18.168212890625,18.451786539355457,18.129100377224106,18.168212890625,3027200.0,-0.0053533372811328,17.82711715857543,17.660638061499633,17.487247390747072,17.41984182993571,17.629425010681153,17.557928218841553,17.16248188972473,16.584116124045753,18.45667486496421,16.584116124045753,19.141791025155023,16.584116124045753,19.141791025155023,16.196157527119414,19.141791025155023,16.196157527119414,19.141791025155023,14.17524159112958,19.141791025155023,2304377.5,2226404.0,2884108.6757990867,40605460.54587364,-1,False,263,263,436871453.6430359,263,0.0204281820259013,0.3583770959664539,0.0197255006931023,1.5493574832159676,-0.2728523766137989,-4.2881305838021255,-7.121291517773408,18.45667486496421,17.804457712359547,3553100.0,True,True,False,0.0177610293359048,0.0766952610255321,0.0766952610255321,1.0,0.9038072155817184,0.0305618521090398,0.949138608124464,False,False,0.0485327670342421,1.03140954691464,0.024056915750481,0.9778775274286626,0.0513828311821766,0.92816199872724,0.0,0.0,0.7989912167097992,24.0,65.0,65.0,60.0,60.0,51.0,51.0,40.0,34.0,29.0,31.0,96.15384615384616,AM
2025-12-09,24.987228393554688,25.303147225208555,24.503477447206603,24.671309561900816,1246800.0,0.0128051528306698,24.33528050654113,24.135609712622376,23.951013870239255,24.10202356974284,24.19841823577881,23.90306219100952,23.890149211883543,22.588216524879744,25.654111935982968,22.588216524879744,26.554943563861396,20.72891374689144,26.554943563861396,20.72891374689144,26.554943563861396,20.72891374689144,26.554943563861396,19.364306167866367,28.8598283622984,1728702.5,1669722.0,1511076.255707763,35854478.06067467,1,False,81,81,67565679.59976196,40,0.0324768654398366,0.6981247176241171,0.0279392618752464,1.1667305979524287,0.4525264155862903,-5.024454105657679,-8.456871009600173,24.96748382186173,23.86176607485831,2079600.0,False,False,False,0.0320031403806363,0.0888976542530189,0.1086527348118814,0.8181814696789188,0.8556334527544106,0.0325975917140557,0.8658134788562097,False,False,0.0296989111156436,1.0128832600780333,0.0319015449413642,0.9853684065768726,0.0385504613047813,0.9168335675216264,0.0,0.0,1.1440206895384673,68.0,58.0,58.0,62.0,62.0,48.0,48.0,44.0,38.0,54.0,49.0,92.3076923076923,AROC
2025-12-09,1107.556640625,1111.8416653547897,1101.7470540676272,1104.0290918786432,904700.0,-0.0073681257775873,1085.741280532889,1061.9266862069053,1041.4210668945314,1044.6628316243489,1029.0438342285156,903.4489501953124,811.0759094238281,942.8043949242192,1137.7309698225404,856.6513363049863,1137.7309698225404,680.6418085798671,1137.7309698225404,679.8857573557855,1137.7309698225404,678.1457988129081,1137.7309698225404,572.2395211585249,1137.7309698225404,1454675.0,1522996.0,1655572.602739726,1532676081.8737793,-1,False,146,146,3497143172.485352,314,0.0279710207877805,35.92334313620288,0.0324347684069061,2.35231688050568,-0.2288537393382197,7.626653460573163,3.112072305907997,1130.217317013055,1110.137695213593,1118800.0,False,True,False,0.0091143070402844,0.1511372881370858,0.1759969357308202,0.8587495430502486,0.9115847973336764,0.0762968532388577,0.9734785023895,True,True,0.0929041604624618,1.075056326710771,0.4038022754858827,1.340498440113406,0.4220110780179558,1.2553530505166932,0.0,0.0,0.8786537042185463,34.0,77.0,77.0,92.0,92.0,85.0,85.0,64.0,76.0,86.0,82.0,92.3076923076923,ASML
2025-12-09,15.970000267028809,16.030000686645508,15.710000038146973,15.760000228881836,5157600.0,0.0146124840695791,15.22308660561716,14.867929979385291,14.870399932861329,14.892999966939293,13.721999950408936,12.105799961090089,10.695052301883695,13.18000030517578,16.389999389648438,10.93000030517578,16.389999389648438,9.520000457763672,16.389999389648438,9.300000190734863,16.389999389648438,8.581536763549154,16.389999389648438,6.699196851346324,16.389999389648438,8028900.0,7880598.0,9783424.657534247,94272959.02584551,1,False,244,244,296433472.41773605,244,0.0260982731250993,0.47928558077131,0.0300116200849932,5.45870361475854,0.4798819433301264,5.3950233878590925,2.9042689859863,15.979999542236328,15.649999618530272,6126500.0,False,False,False,0.0200376107168388,0.1452724239014785,0.1678146687767332,0.8656717851927133,0.7091581121128118,0.1638245390427128,0.9743746712470964,False,False,0.0492772658897207,1.0321418876209585,0.4132743360591258,1.349543362354109,0.631562368650324,1.4403451761066823,0.0,0.0,0.8206635489155546,27.0,65.0,65.0,92.0,92.0,89.0,89.0,71.0,87.0,87.0,85.0,92.3076923076923,ASX
2025-12-09,18.8480224609375,19.233280180289626,18.82826517169924,18.976441072668603,1075400.0,-0.0041753562979777,18.47978259041455,18.000505070050494,17.568569564819335,17.439689191182456,17.14952709197998,16.382862215042113,14.97386466026306,15.924011238000755,19.233280180289626,15.143615923512773,19.233280180289626,13.854733369233465,19.233280180289626,13.32450367108582,19.233280180289626,12.983138572438,19.233280180289626,11.228661230519991,19.233280180289626,3005192.5,3361084.0,2605599.086757991,37517136.06696129,-1,False,54,54,143288191.83425903,64,0.0267459130409521,0.4304168422572721,0.0228361804613354,4.336993308929987,-0.1836061421037134,0.98641040691367,-0.7513045938271575,19.144374164872787,18.77887373662999,1602100.0,False,False,False,0.0214884616903327,0.0801886834437729,0.1755764536649572,0.4567166141582545,0.5556481182856483,0.0990403618623294,0.9799692140008996,False,False,0.1164423491471837,1.0982101215083993,0.1412181518713622,1.0897554300395842,0.3541353659586059,1.1954322921577196,0.0,0.0,1.1533595153885328,69.0,82.0,82.0,79.0,79.0,82.0,82.0,66.0,70.0,74.0,73.0,96.15384615384616,BANC
2025-12-09,22.809104919433597,22.88688711165375,22.478539874645577,22.478539874645577,2194800.0,0.0147058673790612,22.26127433668007,22.05207597294796,21.835683212280276,21.906528282165528,22.0606632232666,22.90491310119629,21.34038917541504,20.524305797111086,22.88688711165375,20.524305797111086,23.628335510191214,20.524305797111086,25.009211941273403,20.524305797111086,25.009211941273403,18.993132853447516,25.009211941273403,15.370439211679871,25.009211941273403,4149695.0,4512948.0,4465677.625570776,84883900.92057228,1,False,193,193,463024183.11805725,312,0.021016879647308,0.4375150267075514,0.0191815956063573,1.768702048320172,0.7555544062969083,-9.891556198567594,-11.707757452442534,22.857717405143408,22.410479099113125,2711100.0,False,False,False,0.017902817249977,0.0664962689002987,0.1035806237416058,0.6419759458697755,0.6430563791118356,0.0339265274390134,0.9120281347926475,False,False,0.055330701685567,1.0380964668842565,-0.0215674978712813,0.9343105263209796,0.1031261023383225,0.9738410193014804,0.0,0.0,0.929241953391029,41.0,67.0,67.0,45.0,45.0,61.0,61.0,46.0,40.0,33.0,28.0,96.15384615384616,BEN
2025-12-09,54.25,54.79999923706055,53.880001068115234,54.040000915527344,1355200.0,-0.0042217243790175,52.11131989756841,50.95841728841625,49.50679977416992,49.50099983215332,50.33259994506836,48.2953999710083,46.95989992141724,42.970001220703125,55.119998931884766,42.970001220703125,55.560001373291016,38.70000076293945,55.560001373291016,38.70000076293945,55.560001373291016,38.70000076293945,55.560001373291016,36.54999923706055,100.19000244140624,2451840.0,2484236.0,2882907.305936073,117517446.0154152,-1,False,305,305,687255130.657196,103,0.0343618632064113,1.6967855181012834,0.0312771524073969,2.488406655004617,-0.1355501563295398,-5.409506697309055,-8.616582160547063,55.119998931884766,53.72999954223633,2870900.0,True,True,False,0.0169584915934619,0.1139170563166042,0.1603686776578701,0.710344800370771,0.7379733648493944,0.0778302742001602,0.5414711915166069,True,False,0.1899539332842166,1.1705212137999752,0.0249385922390621,0.978719445110566,0.1957240748770354,1.055586618259934,0.0,0.0,0.8504747949930681,31.0,90.0,90.0,60.0,60.0,71.0,71.0,78.0,72.0,77.0,72.0,96.15384615384616,BILL
