date,close,high,low,open,volume,price_chg_pct0,ema10,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,atr14,inside_day,tight_day,close_to_ma,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-04-13,73.30999755859375,74.47000122070312,72.48999786376953,73.0,3287705.0,0.0038340241541432,70.32500958849236,67.38286915042477,65.02199996948242,64.48479843139648,62.797997589111326,57.12656341552734,44.97188148498535,55.06100082397461,75.69999694824219,54.9500066968113,75.69999694824219,41.23246878124106,75.69999694824219,35.06257597051839,75.69999694824219,30.57736890021994,75.69999694824219,22.225806605476293,75.69999694824219,6565100.125,6872768.1,6693544.464285715,403312383.7830696,0.0460956495254443,3.3848558153424944,False,True,False,0.1119368605984765,1.0774431347943103,0.1532914287627802,1.1666962657618218,0.9899453675037452,1.9462725980952835,0.9808107139691016,43.0,80.0,80.0,81.0,81.0,97.0,97.0,86.0,79.0,92.0,94.0,76.92307692307693,AA
2026-04-13,153.19000244140625,155.39999389648438,143.5,148.52999877929688,10612981.0,0.0171978501522129,125.0958871146579,112.21895230721266,107.92920043945313,106.41700032552085,83.48520027160644,57.83290014266968,42.52145010948181,78.57499694824219,155.39999389648438,34.540000915527344,155.39999389648438,24.82999992370605,155.39999389648438,18.5,155.39999389648438,18.5,155.39999389648438,9.711000442504885,155.39999389648438,12185107.025,10969431.62,6115833.654761905,1495653166.3172226,0.1407322944584395,15.34892817905971,False,True,False,0.4426028714514227,1.3978514564606783,3.500293722716342,4.55260114675186,3.732468566457461,4.628606414354786,1.9923869275797657,92.0,97.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,100.0,AAOI
2026-04-13,26.549999237060547,26.56999969482422,25.5,25.94499969482422,2378982.0,0.0235157552214402,25.38181175121188,24.39070808115674,24.156399841308595,24.15633322397868,20.97659999847412,17.70689995765686,20.068449997901915,21.61000061035156,27.989999771118164,11.43000030517578,27.989999771118164,11.43000030517578,27.989999771118164,11.43000030517578,27.989999771118164,11.43000030517578,27.989999771118164,11.43000030517578,28.93000030517578,3426124.55,3633631.64,2930502.3095238097,70973922.81419487,0.0533855956632687,1.3242856434413366,False,False,False,0.0993788677615032,1.0652747072077742,0.9623059690356816,1.9851140737359727,0.0544082174456193,1.031267417856405,1.1691253539932291,63.0,77.0,77.0,98.0,98.0,61.0,61.0,75.0,98.0,97.0,95.0,92.3076923076923,ACHC
2026-04-13,14.970000267028809,15.06999969482422,14.59000015258789,15.0,1995553.0,-0.0079522786180027,13.787711927006754,12.898004994962417,12.176799926757813,11.805333296457926,11.07659996032715,9.8524999666214,9.534449970722198,9.25,15.25,8.8100004196167,15.25,7.989999771118164,15.25,7.110000133514404,15.25,7.110000133514404,15.25,7.059999942779541,15.25,1799216.325,1666217.06,1393307.75,28833754.350419,0.0526770317425415,0.622143064226423,False,True,False,0.4955044879855141,1.4491119961315186,0.6992053977314243,1.7189554546696924,0.6670379766300929,1.6304519646031184,1.2913272929114188,73.0,98.0,98.0,97.0,97.0,94.0,94.0,95.0,94.0,94.0,94.0,96.15384615384616,ADTN
2026-04-13,71.66000366210938,74.44000244140625,68.69000244140625,68.98500061035156,3330018.0,0.0174641963879589,57.08131503464971,49.32771183773319,43.67480018615723,43.21000016530355,38.14079998016357,31.03779998779297,26.918549990653997,29.1299991607666,74.44000244140625,22.65999984741211,74.44000244140625,19.899999618530277,74.44000244140625,18.700000762939453,74.44000244140625,18.700000762939453,74.44000244140625,7.710000038146973,74.44000244140625,2534867.95,2333980.36,1486495.7063492064,172234617.786211,0.1186860470086699,6.326428277151925,False,False,False,0.9033200732502902,1.844276612195384,1.7226445476061758,2.754290153787557,1.8493043637786373,2.7867714849941683,1.7052642259058843,88.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,100.0,AEHR
2026-04-13,14.260000228881836,14.890000343322754,14.010000228881836,14.579999923706056,1144410.0,-0.0083449154801169,14.39274441737414,13.759772228347664,13.397600021362305,12.761333338419597,11.183199977874756,9.63710000038147,9.057550010681153,8.829999923706055,15.890000343322754,8.170000076293945,15.890000343322754,6.889999866485596,15.890000343322754,6.889999866485596,15.890000343322754,6.889999866485596,15.890000343322754,6.889999866485596,15.890000343322754,1702990.25,1452586.2,834956.7857142857,34022459.66899586,0.0703518085429357,0.9435714312962123,False,False,True,0.3452829920468963,1.3035505661322648,0.7077843805285982,1.7276341519563228,0.8471503389157253,1.806611451702242,2.039614838920235,93.0,96.0,96.0,97.0,97.0,96.0,96.0,95.0,94.0,95.0,93.0,46.15384615384615,AGRO
2026-04-13,395.7300109863281,400.5,389.5899963378906,397.8450012207031,5082401.0,-0.0094119485843461,374.8433973166372,364.6585077915486,356.43079833984376,355.4433319091797,352.04675842285155,313.5797436523437,254.5237288665772,316.6600036621094,407.2900085449219,287.1318864679073,407.2900085449219,246.6124298845047,407.2900085449219,202.74920635088992,407.2900085449219,161.23248204689142,407.2900085449219,131.62252461955563,407.2900085449219,6999977.525,7413358.02,7548331.75,2296171610.690889,0.0406271766459123,17.482142857142858,False,True,False,0.1733330087969566,1.136934694723048,0.3155706233673028,1.33086164983915,0.802089124557626,1.7625391830991686,0.927354249500229,37.0,89.0,89.0,91.0,91.0,95.0,95.0,78.0,83.0,88.0,92.0,92.3076923076923,AMAT
2026-04-13,37.810001373291016,38.11000061035156,36.54010009765625,37.290000915527344,794509.0,0.0026518772539438,34.603881325404174,33.3980464348288,32.14120018005371,31.934333483378094,31.96440002441406,31.623299961090087,41.376549863815306,26.459999084472656,39.25,24.8700008392334,39.25,24.8700008392334,39.25,24.8700008392334,64.72000122070312,24.8700008392334,70.48999786376953,16.899999618530273,70.48999786376953,966910.225,1161582.18,1065522.257936508,31540524.11737156,0.0668599750239444,2.309992926461356,True,True,False,0.2922078290337702,1.2521218636196034,0.2328008242333152,1.2471298079480906,-0.3677257214769563,0.6183979333631374,0.9074519258495076,35.0,95.0,95.0,87.0,87.0,20.0,20.0,91.0,90.0,84.0,79.0,96.15384615384616,AMSC
2026-04-13,5.809999942779541,6.070000171661377,5.789999961853027,5.869999885559082,1479788.0,-0.0068376004282242,5.751607867433071,5.626061687376806,5.565399990081787,5.542166646321615,5.50689998626709,5.3291500020027165,4.003450002670288,4.855000019073486,6.369999885559082,4.78000020980835,7.179999828338623,4.010000228881836,7.179999828338623,2.539999961853028,7.179999828338623,2.0999999046325684,7.179999828338623,1.284999966621399,7.179999828338623,2762417.2,2628871.76,2159083.6825396824,15913190.968522169,0.0772869623453309,0.4710714135851179,True,True,True,0.0680146841300093,1.034883481294108,0.1066666557675315,1.1195295677452548,0.7822085766184068,1.7430949479351854,1.2794396170650644,72.0,68.0,68.0,75.0,75.0,95.0,95.0,69.0,64.0,81.0,95.0,61.53846153846154,ANNX
2026-04-13,39.4900016784668,39.79999923706055,38.95000076293945,39.625,7108239.0,0.0222625054768998,40.23142248072274,39.2507997309818,38.7752001953125,37.63600025177002,33.71880012512207,29.32756155014038,25.348580265045165,30.190000534057617,45.65999984741211,24.972527348754536,45.65999984741211,23.03099137852301,45.65999984741211,21.426250768035736,45.65999984741211,21.13024838113448,45.65999984741211,13.407100835800607,45.65999984741211,9613950.975,9075126.78,7567923.567460317,432537728.627875,0.0472925547920382,2.388571330479213,False,True,True,0.1749479607657087,1.1384995487839322,0.5819651939346575,1.6003525546953288,0.7037974258539381,1.6664046645685409,1.2703551891481772,72.0,89.0,89.0,96.0,96.0,94.0,94.0,84.0,91.0,91.0,90.0,50.0,APA
