date,close,high,low,open,volume,price_chg_pct0,ema10,ema20,sma25,sma30,sma50,sma100,sma200,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,atr14,atr_pct,atr_multi_50sma,vars_norm_change,vars,vars_20ema,previous_session_high,previous_session_low,previous_session_volume,inside_day,tight_day,close_to_ma,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-05-22,181.4900054931641,182.4600067138672,166.7386932373047,176.0,10100188.0,0.026469136356497,178.46401686343103,172.29891800289127,169.7615997314453,166.76366678873697,141.67280014038087,97.98165019989014,62.96245010375976,132.6300048828125,233.6699981689453,65.56800079345703,233.6699981689453,33.279998779296875,233.6699981689453,24.82999992370605,233.6699981689453,18.5,233.6699981689453,15.0600004196167,233.6699981689453,12120324.7,12292531.76,6987272.571428572,2064544832.688409,0.1361727763743825,25.34259251185826,0.1396362981145692,2.0127320883210458,0.1846696596798631,9.298902919275848,11.659621649453882,182.17999267578125,163.66000366210938,9868900.0,False,False,True,0.3177231621512002,1.2533539209866946,2.363417505049384,3.0773131335256485,7.696214575707252,7.728892777312132,1.734628866427914,89.0,94.0,94.0,99.0,99.0,99.0,99.0,87.0,98.0,99.0,99.0,73.07692307692307,AAOI
2026-05-22,134.60000610351562,137.08990478515625,128.3668975830078,134.22000122070312,944006.0,0.016693154498496,130.58625098496086,121.94556768767742,113.8336004638672,110.3750005086263,99.4188381958008,96.01220428466796,92.70626724243164,85.62999725341797,149.0,76.83999633789062,149.0,76.83999633789062,149.0,73.0979416440298,149.0,73.0979416440298,149.0,61.78025587261198,149.0,1129417.65,1072018.12,1083130.1825396826,180248139.5278748,0.0709731533382667,11.599500383649554,0.0861775620925962,4.106268702100079,0.1905260261883669,4.253344076287138,2.7963695399030675,133.7899932861328,127.88999938964844,1045100.0,False,True,True,0.3635903895443209,1.2969805877625191,0.3330319037567197,1.2196394229026948,0.4683592218707162,1.3050265590408638,1.0427349068528255,58.0,95.0,95.0,88.0,88.0,86.0,86.0,93.0,91.0,89.0,88.0,73.07692307692307,AAON
2026-05-22,57.95000076293945,59.130001068115234,55.540000915527344,58.0099983215332,3002858.0,-0.0114295152022065,53.77520885528335,54.08055413089663,55.39519973754883,55.60933316548665,54.09437088012695,51.598618278503416,52.46843141555786,47.130001068115234,62.18999862670898,46.33418142547975,62.18999862670898,39.74345566302367,64.91165282301284,37.49990794619031,64.91165282301284,37.49990794619031,64.91165282301284,37.49990794619031,68.93513032322925,1710076.45,1702557.16,2145588.3253968256,115620275.07120325,0.0532322156420488,3.4607140677315846,0.0597189650072412,1.1935235451831352,-0.1936011342839659,1.9563297523182284,0.1825774635154606,62.18999862670898,55.040000915527344,8648300.0,True,True,False,-0.0036107132913274,0.947716830966773,0.0512447059738607,0.9618220561039664,0.1701203184099375,1.0399622041075527,0.7970198335618377,28.0,48.0,48.0,63.0,63.0,67.0,67.0,78.0,66.0,79.0,79.0,34.61538461538461,AAP
2026-05-22,3.2300000190734863,3.3499999046325684,3.150000095367432,3.220000028610229,5281934.0,0.0062305235790773,3.1667175187505427,3.187419096030077,3.255599994659424,3.239000002543132,3.0989999914169317,3.5881499910354613,3.802475000619888,2.740000009536743,3.7200000286102295,2.470000028610229,3.799999952316284,2.470000028610229,5.329999923706055,2.470000028610229,5.329999923706055,2.470000028610229,7.039999961853027,1.2000000476837158,11.489999771118164,4412013.35,4254376.68,6905863.626984127,17323809.682844497,0.0815162051033084,0.2726428508758545,0.0844095508563065,0.5007929690557129,0.0733559705023055,-6.986764045026327,-7.018440497054943,3.244999885559082,2.9600000381469727,5294300.0,False,True,True,-0.0256410367058161,0.9267626631830952,-0.0952380729767895,0.8277996283728148,-0.1965174043784326,0.7141073596945465,0.6388793043581689,18.0,38.0,38.0,27.0,27.0,23.0,23.0,71.0,72.0,67.0,62.0,30.76923076923077,ABAT
2026-05-22,5.199999809265137,5.429999828338623,5.039999961853027,5.139999866485596,6433629.0,0.0116731409218042,4.69236419431725,4.535295259307784,4.473199987411499,4.364999993642171,3.991799993515015,3.814299995899201,4.146599999666214,3.4800000190734863,5.630000114440918,3.220000028610229,5.630000114440918,2.744999885559082,5.630000114440918,2.744999885559082,5.630000114440918,2.744999885559082,6.054999828338623,1.940000057220459,6.514999866485596,6915478.225,5946412.58,5289482.257936508,46215846.22979784,0.0964004806228242,0.4927142688206264,0.0947527474794766,3.1943182320158767,0.1217743154123756,1.934007547139504,0.5110394767317075,5.429999828338623,4.449999809265137,13962700.0,False,True,False,0.2839505097212376,1.221231023278718,0.7161715704175575,1.570187853604498,0.4404432023195685,1.2802157726921817,1.3074017243604126,79.0,93.0,93.0,95.0,95.0,85.0,85.0,92.0,88.0,91.0,89.0,92.3076923076923,ABCL
2026-05-22,5.099999904632568,5.210000038146973,5.045000076293945,5.110000133514404,2241735.0,0.0019645877691365,5.110638747349117,4.960771358632037,4.976200037002563,4.6861666997273765,3.973900027275085,3.4512500190734863,3.3616250133514405,2.9200000762939453,6.71999979019165,2.240000009536743,6.71999979019165,2.240000009536743,6.71999979019165,2.240000009536743,6.71999979019165,2.240000009536743,6.71999979019165,2.240000009536743,6.71999979019165,4656193.375,4793300.7,4513602.123015873,27452572.3802048,0.1093485346362768,0.5463571207863944,0.107128849216274,2.6451696692062656,0.0183025930554079,-0.7709688969837307,-0.3523175420356755,5.210000038146973,4.789999961853027,2609800.0,False,True,True,0.2846347274254091,1.2218818177452369,0.9245281966397196,1.7608209169598423,0.7832168152795305,1.5848610270606864,1.0315914535880382,57.0,93.0,93.0,97.0,97.0,93.0,93.0,95.0,96.0,95.0,93.0,53.84615384615385,ABSI
2026-05-22,6.360000133514404,6.429999828338623,6.144999980926514,6.190000057220459,79189482.0,0.0392157275233997,6.129976409489543,6.085232248226058,6.0523999977111815,6.022666660944621,5.844800024032593,6.68800000667572,8.0425,5.230000019073486,6.75,4.800000190734863,7.550000190734863,4.800000190734863,9.289999961853027,4.800000190734863,9.289999961853027,4.800000190734863,12.130000114440918,4.800000190734863,14.619999885559082,35873372.05,34139351.64,41523507.865079366,284179363.3879765,0.0626503188988272,0.4410713400159563,0.0693508381692799,1.2710264131201006,0.5441302260687352,-8.213150494471074,-8.601540818981618,6.139999866485596,5.590000152587891,64120200.0,False,False,False,0.1022530597119952,1.0484092820029605,-0.0862068823770167,0.8360625934677908,-0.1485943357233705,0.7566997147899955,0.8639292269468629,35.0,82.0,82.0,28.0,28.0,26.0,26.0,76.0,74.0,69.0,64.0,61.53846153846154,ACHR
2026-05-22,73.3499984741211,76.36000061035156,69.76000213623047,72.29000091552734,1812890.0,0.0245844702648623,66.6306414259683,61.984928028199306,58.58959930419922,57.113332748413086,51.82949951171875,53.370099754333495,43.88792490005493,46.790000915527344,76.36000061035156,37.15999984741211,76.36000061035156,37.15999984741211,76.36000061035156,32.20000076293945,76.36000061035156,28.459999084472656,76.36000061035156,21.87299919128418,76.36000061035156,1338232.25,1259673.8,1376263.0555555555,99620639.89251707,0.0822639833045579,5.489286695207868,0.0748369026503056,5.548294648041214,0.3206249252324433,5.016462913449581,4.852490154493051,72.69000244140625,69.0999984741211,968200.0,False,True,False,0.3585848526353312,1.2922195654994786,0.126381992942576,1.030567895613688,1.3285713801308283,2.069553179106693,0.9723666159590372,49.0,95.0,95.0,74.0,74.0,97.0,97.0,93.0,94.0,93.0,93.0,100.0,ACMR
2026-05-22,5.949999809265137,6.125,5.840000152587891,5.880000114440918,1771747.0,0.0084745276422899,5.872700821897901,5.688383079311655,5.559599990844727,5.431999985376994,5.073199987411499,6.096100001335144,7.672899987697601,4.269999980926514,6.699999809265137,4.065000057220459,6.699999809265137,4.065000057220459,9.0649995803833,4.065000057220459,9.06999969482422,4.065000057220459,9.649999618530272,4.065000057220459,17.15999984741211,3201146.175,3103464.94,3072932.726190476,23287794.23139186,0.0625887806710807,0.4485713754381452,0.075390149549189,2.2924710785569444,0.1114643435481533,-10.609129261141527,-9.402293814908976,5.954999923706055,5.65500020980835,2519800.0,False,True,True,0.146435403403772,1.0904333696831587,0.04753520934621,0.9584281025808306,-0.1039156733576353,0.7964085545216111,1.0417234805424689,58.0,86.0,86.0,63.0,63.0,29.0,29.0,89.0,83.0,79.0,75.0,73.07692307692307,ACVA
2026-05-22,13.880000114440918,14.266400337219238,13.729999542236328,14.0,1195427.0,0.0007209970414092,13.579103581669052,13.68776990049431,13.840000038146972,13.924666690826417,13.817000007629394,15.203300008773803,15.125575008392332,12.50100040435791,15.149999618530272,12.0,16.950000762939453,12.0,19.799999237060547,12.0,19.799999237060547,12.0,20.76000022888184,8.5,20.76000022888184,1781598.175,1833012.54,2023737.8055555555,23338828.578850985,0.0539339882149154,0.806814329964774,0.0581278330916838,0.078441049279788,0.0123947090556417,-9.88622307664467,-8.746536426580732,13.920000076293944,13.390000343322754,1075800.0,False,True,True,0.004341564467557,0.9552806492224996,-0.0981156722025011,0.8251668080711391,-0.0838283522156656,0.8142614662613255,0.8803502954331165,37.0,55.0,54.0,27.0,27.0,31.0,31.0,54.0,50.0,44.0,39.0,26.923076923076923,ADPT
2026-05-22,1.5099999904632568,1.929900050163269,1.5099999904632568,1.6799999475479126,759093.0,-0.2335025540438634,2.465021260640499,2.0872214851980577,1.5259999918937683,1.4036666611830393,1.4067999970912934,3.4776999944448472,10.177850022017957,0.4799999892711639,5.889999866485596,0.4799999892711639,6.0,0.4799999892711639,10.4399995803833,0.4799999892711639,22.3799991607666,0.4799999892711639,23.700000762939453,0.4799999892711639,50.52000045776367,14159389.825,11391167.86,2663301.277777778,53958367.5656242,0.5251235939021934,1.154285688485418,0.7644276130964025,0.0959645749719112,-0.3985148934407704,-10.1792549894237,-13.041047666973997,2.809999942779541,1.7899999618530271,1500000.0,False,False,False,1.9038462420187083,2.761996736427565,-0.558479544801778,0.4039631397118991,-0.8049095561865742,0.1733895948616901,5.316480693770552,98.0,99.0,99.0,2.0,2.0,2.0,2.0,99.0,98.0,98.0,97.0,69.23076923076923,AEHL
2026-05-22,95.0199966430664,97.12999725341795,90.13999938964844,92.6500015258789,1845652.0,0.0407447258156139,91.70216225969207,89.75560475581682,92.590400390625,89.95766703287761,71.12000019073486,50.79290006637573,37.6688500213623,68.5,108.75,29.1299991607666,108.75,22.65999984741211,108.75,19.899999618530277,108.75,18.700000762939453,108.75,8.430000305175781,108.75,3640171.3,3187253.04,1800691.0793650793,260179739.20592195,0.1224802615533264,11.071427481515068,0.1165168161719036,2.884147574476825,0.3359994542275168,10.566424624659213,9.743743920962604,92.5999984741211,80.01000213623047,1986400.0,False,False,True,-0.0051304102419047,0.946271369441601,1.7686479454542745,2.533136808577723,3.7844911240103114,4.252289150589394,2.0215412525304,92.0,47.0,47.0,99.0,99.0,99.0,99.0,88.0,98.0,99.0,99.0,53.84615384615385,AEHR
2026-05-22,19.06999969482422,19.489999771118164,18.86000061035156,19.38999938964844,1977598.0,-0.0205444084559321,19.00443887496332,18.132010873347205,17.80040008544922,16.953666718800864,15.28420000076294,13.212699995040891,11.894647188186646,11.470000267028809,20.1299991607666,9.350000381469728,20.1299991607666,9.270000457763672,20.1299991607666,8.470000267028809,20.1299991607666,7.642000198364258,20.1299991607666,7.642000198364258,20.1299991607666,5616999.95,5033539.96,2866277.373015873,86531845.93925056,0.0547494976371294,1.0639279229300362,0.0557906628188775,4.439697688013556,-0.3759649595704589,5.622769783928651,5.71686726132172,20.1299991607666,19.030000686645508,3753000.0,False,False,True,0.1837367456442362,1.1259125848157436,0.7336363358931108,1.5861670034100694,1.1596828833063362,1.91945096257166,1.959684712610294,92.0,89.0,89.0,95.0,95.0,96.0,96.0,94.0,95.0,93.0,93.0,80.76923076923077,AESI
