date,close,high,low,open,volume,price_chg_pct0,ema20,sma25,sma30,sma50,sma100,min30,max30,min60,max60,min90,max90,min120,max120,min150,max150,min252,max252,vol_sma40,vol_sma50,vol_sma252,avg_dollar_vol,adr_pct,perf_1mo,rela_perf_1mo,perf_3mo,rela_perf_3mo,perf_6mo,rela_perf_6mo,vol_ratio,vol_ratio_rank,perf_1mo_rank,rela_perf_1mo_rank,perf_3mo_rank,rela_perf_3mo_rank,perf_6mo_rank,rela_perf_6mo_rank,c0_c30_rank,c0_c60_rank,c0_c90_rank,c0_c120_rank,rs_sts_pct,ticker
2026-03-02,64.08000183105469,65.2300033569336,62.25,63.0,6440297.0,0.0322164938951325,61.20123229143103,60.41080017089844,60.72266667683919,59.45900016784668,49.29913459777832,55.040000915527344,66.22000122070312,42.31999969482422,66.94999694824219,35.119998931884766,66.94999694824219,30.627446708389108,66.94999694824219,27.93885177561516,66.94999694824219,21.32615460391295,66.94999694824219,8112077.425,7539081.94,6604001.178571428,425889304.1719505,0.0530228259263256,0.0567282730216101,0.5316978156667227,0.5414963267135442,0.7668640803139952,1.0129299162399017,0.9779062134137037,1.2283579614313147,70.0,73.0,73.0,94.0,94.0,95.0,95.0,67,89,92,93,94.73684210526316,AA
2026-03-02,102.51000213623048,110.0,93.77999877929688,107.5500030517578,26829890.0,0.2170247898701065,56.01605102803072,49.65360015869141,47.6630002339681,42.81620018005371,35.80285007476807,34.540000915527344,110.0,24.82999992370605,110.0,18.5,110.0,18.5,110.0,18.5,110.0,9.711000442504885,110.0,6154204.75,5866839.8,5130579.722222222,449691517.9650078,0.1302882619213892,1.5905990125554346,1.303472114269744,3.0089950473085123,1.99439612450592,3.0215772089720065,1.953731875436026,1.1995144960605764,68.0,99.0,99.0,99.0,99.0,99.0,99.0,99,99,99,99,100.0,AAOI
2026-03-02,53.27000045776367,53.27000045776367,51.17499923706055,52.29999923706055,1196705.0,0.001880802938917,53.18716038394701,53.43639968872071,51.95033315022786,47.56361358642578,49.20580375671387,39.91999816894531,65.19999694824219,37.66648631008281,65.19999694824219,37.66648631008281,65.19999694824219,37.66648631008281,65.19999694824219,37.66648631008281,65.19999694824219,28.235878616502816,69.24134274782261,2104772.625,2088622.1,2318131.369047619,122394609.8882208,0.0591618062856647,0.1070241404861391,0.5570044186513163,0.0407089759103531,0.5177322305966936,-0.1101509455387497,0.432299660478719,0.9079608917352794,35.0,83.0,83.0,57.0,57.0,34.0,34.0,89,85,77,74,26.31578947368421,AAP
2026-03-02,3.819999933242798,3.8350000381469727,3.4200000762939453,3.470000028610229,5013509.0,0.0581717574098152,3.399719573624786,3.372399997711182,3.524999984105428,3.6379999923706055,4.083500003814697,2.744999885559082,4.849999904632568,2.744999885559082,4.849999904632568,2.744999885559082,5.96999979019165,2.744999885559082,6.514999866485596,2.744999885559082,6.514999866485596,1.8910000324249268,6.514999866485596,4710927.725,4477556.18,5009050.829365079,14863883.510232797,0.0791596715015754,-0.0103626846995119,0.4979406837889996,0.0494505008656755,0.522080967197122,-0.1116279619071445,0.4315821076854926,0.9404831145618724,38.0,46.0,46.0,58.0,58.0,33.0,33.0,92,84,76,73,100.0,ABCL
2026-03-02,8.59000015258789,8.635000228881836,7.75,7.760000228881836,8787868.0,0.0832282898532599,7.664600445537567,7.635599994659424,7.698000033696492,7.786199998855591,8.779275622367859,7.110000133514404,8.635000228881836,7.110000133514404,9.300000190734863,7.110000133514404,11.555175900773152,7.110000133514404,12.164361628411434,7.110000133514404,12.164361628411434,7.110000133514404,12.164361628411434,4417711.7,4347581.36,3471201.8571428573,39322729.6831357,0.0425614838159538,0.0901015263750852,0.5484897255292234,-0.0487264223028415,0.47323988039791,-0.2484341453234961,0.3651199741969262,1.272674964410227,73.0,80.0,80.0,35.0,35.0,23.0,23.0,76,63,53,50,100.0,ABR
2026-03-02,23.440000534057617,23.84000015258789,22.43000030517578,23.26000022888184,3811157.0,0.0,17.846953930024668,16.111200103759767,15.78033339182536,15.023399982452393,17.13109999656677,11.5600004196167,23.84000015258789,11.43000030517578,23.84000015258789,11.43000030517578,24.059999465942383,11.43000030517578,27.5,11.43000030517578,27.5,11.43000030517578,33.58000183105469,4081191.425,3741989.14,2878076.8134920634,77465763.3786418,0.0634833294568637,0.7961685970471759,0.90375070299611,0.3667639099379984,0.6799381423344355,0.0362510903802428,0.5034235776238485,1.4180272763631203,81.0,99.0,99.0,90.0,90.0,54.0,54.0,98,97,95,93,94.73684210526316,ACHC
2026-03-02,7.519999980926514,7.550000190734863,6.800000190734863,6.849999904632568,37211347.0,0.0561797895781879,7.262954730769417,7.18879997253418,7.44399995803833,7.775199975967407,8.669499988555907,6.360000133514404,9.229999542236328,6.360000133514404,9.289999961853027,6.360000133514404,11.970000267028809,6.360000133514404,14.619999885559082,6.360000133514404,14.619999885559082,5.480000019073486,14.619999885559082,39483883.675,37310364.94,40081916.853174604,240595779.2581439,0.0599705592103099,0.0121130759982823,0.5092494688130764,0.0040053685881316,0.4994729084137014,-0.1826086807791809,0.3970987978307728,0.9850797260928094,43.0,59.0,59.0,45.0,45.0,28.0,28.0,71,59,48,45,100.0,ACHR
2026-03-02,97.27999877929688,97.8000030517578,96.19000244140624,96.76000213623048,627650.0,-0.0071443616416979,96.55487560682026,96.63119964599608,96.73199971516928,97.09826217651369,108.73990898132324,87.55999755859375,109.0,87.55999755859375,109.0,87.55999755859375,135.0995526013405,87.55999755859375,135.0995526013405,87.55999755859375,135.0995526013405,84.37448920441503,135.0995526013405,1675323.75,1615369.0,1150791.865079365,194968897.93243408,0.0463032834853667,-0.002870016259776,0.5017106552609762,-0.074694222802259,0.4603214107897345,-0.2223826636862244,0.3777761057175454,1.4558008279668022,82.0,50.0,50.0,33.0,33.0,25.0,25.0,52,41,32,30,57.89473684210527,ACM
2026-03-02,16.579999923706055,17.15999984741211,15.699999809265137,15.699999809265137,5702078.0,0.0648683525162547,16.214734634494015,16.314000091552735,16.47466672261556,17.317200088500975,16.95074999809265,14.550000190734863,18.0,14.550000190734863,20.45800018310547,13.760000228881836,20.45800018310547,13.760000228881836,20.45800018310547,13.760000228881836,20.45800018310547,13.5,25.670000076293945,2603734.45,2455045.56,3211136.023809524,45441736.248532295,0.0506187954597578,-0.0252792651022819,0.4904353359906563,-0.1337512825275698,0.4309416860330402,-0.0460298777727478,0.4634504671080052,0.8108452680590795,25.0,41.0,41.0,26.0,26.0,40.0,40.0,60,48,52,49,89.47368421052632,ADMA
2026-03-02,9.960000038146973,10.119999885559082,9.7475004196167,9.899999618530272,1105219.0,-0.0235293897652979,9.994759314191183,9.916399955749512,9.837999947865804,9.438199977874756,9.02579996585846,8.920000076293945,11.100000381469728,8.119999885559082,11.100000381469728,7.110000133514404,11.100000381469728,7.110000133514404,11.100000381469728,7.110000133514404,11.100000381469728,6.929999828338623,11.18000030517578,1268245.475,1227630.38,1331325.075396825,13863928.913808966,0.0538418562778606,0.0629669327421433,0.5348368267358699,0.2481203025489933,0.6209152829939399,0.0539682792778273,0.5120308068012737,0.9526189346519872,39.0,75.0,75.0,84.0,84.0,58.0,58.0,54,66,77,73,36.84210526315789,ADTN
